序号,大类,分类,小类,意思,词类,单词,重复,有道音,解释,参考,例句,英文释义,关键字,有道义
33459,变化,变化,变化,合并/分离,vv.,amalgamate,,en [ə'mælgəmeɪt] us [ə'mælɡəmet],合并；联合,,,"(verb) To merge, to combine, to blend, to join. | (adjective) Coalesced; united; combined.",,"vi. 合并；汞齐化；调制汞合金
vt. 合并；使（金属）汞齐化；混合"
6K+,地理,地理,地点,1,a.,caspian,,en ['kæspɪən] us [ 'kæspiən ],里海的,,,"{Merriam-Webster} (geographical name) pass on the western shore of the Caspian Sea near Derbent, Russia",,"adj. 里海的（世界最大的咸水湖）
n. 里海"
7757,地理,地理,地点,1,n.,mediterranean,,en [ˌmedɪtəˈreɪniən] us [ˌmɛdətəˈreɪniən],地中海地区,,,"{Merriam-Webster} (adjective) of, relating to, or characteristic of the Mediterranean Sea; of, relating to, or characteristic of the peoples, lands, or cultures bordering the Mediterranean Sea",,"n. (Mediterranean) 地中海地区；地中海沿岸国家居民
adj. (Mediterranean) 地中海的，地中海沿岸的；地中海沿岸国家居民的；（肤色）浅黑的
n. (Mediterranean) （美、巴、埃、澳）梅迪特拉内安（人名）"
23688,地理,地理,地理,1,n.,afterglow,,en ['ɑːftəgləʊ] us ['æftəɡlo],余晖；晚霞；美好的回忆,,"We basked in the afterglow of victory.我们沉浸在胜利的余晖中.In the dusk, a thread of afterglow still lingers in the sky.  傍晚时分, 天边还残留有一缕落晖.",(noun) The glow seen in the sky after sunset.,,n. 夕照，晚霞
12589,地理,地理,地理,1,a.,agrarian,,en [ə'greərɪən] us [ə'ɡrɛrɪən],土地的；耕地的,,,"(noun) A person who advocates the political interests of working farmers | (adjective) Of, or relating to, the ownership, tenure and cultivation of land.",,adj. 土地的；耕地的；有关土地的
28005,地理,地理,地理,1,a.,alluvial,,en [ə'l(j)uːvɪəl] us [ə'lʊvɪəl],冲积的；淤积的,,,(noun) A deposition of sediment over a long period of time by a river; an alluvial layer. | (adjective) Pertaining to the soil deposited by a stream.,,adj. 冲积的
24191,地理,地理,地理,1,n.,almanac,,en ['ɔːlmənæk; 'ɒl-] us ['ɔlmənæk],年历；年鉴,,,"(noun) A book or table listing nautical, astronomical, astrological or other events for the year; sometimes, but not essentially, containing historical and statistical information.",,n. 年鉴；历书；年历
6457,地理,地理,地理,1,n.,altitude,,en ['æltɪtjuːd] us ['æltɪtud],海拔,,,"(noun) The absolute height of a location, usually measured from sea level.",,n. 高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
15112,地理,地理,地理,1,n.,archipelago,,"en [,ɑːkɪ'peləgəʊ] us ['ɑrkə'pɛlə'go]",群岛，列岛,,,(noun) (collective) A group of islands.,,n. 群岛，列岛；多岛的海区
6947,地理,地理,地理,1,a.,atmospheric,,"en [ætməs'ferɪk] us [,ætməs'fɛrɪk]",大气的；有…气氛的,,,"(adjective) Of, relating to, produced by, or coming from the atmosphere.",,adj. 大气的，大气层的
11571,地理,地理,地理,1,n.,bog,,en [bɒg] us [bɑɡ],沼泽；湿地；泥塘,,,"(noun) An area of decayed vegetation (particularly sphagnum moss) which forms a wet spongy ground too soft for walking; a marsh or swamp. | (verb) (now often with ""down"") To sink or submerge someone or something into bogland.",,"n. 沼泽；泥塘
vt. 使陷于泥沼；使动弹不得
vi. 陷于泥沼；动弹不得
n. (Bog)人名；(德、挪)博格"
26197,地理,地理,地理,1,a.,boreal,,en ['bɔːrɪəl] us ['borɪəl],北的，北方的,austral,,"(adjective) Of, relating to, or coming from the north.",,"adj. 北的，北方的；北风的
n. (Boreal)人名；(法)博雷亚尔"
26492,地理,地理,地理,1,n.,catchment,,en ['kætʃm(ə)nt] us ['kætʃmənt],流域；集水,,,(noun) Any structure or land feature which catches and holds water; the collection of such water. | (verb) To divide into catchment areas.,,n. 流域；集水
11324,地理,地理,地理,1,n.,cavern,,en ['kæv(ə)n] us ['kævɚn],大山洞；凹处,,,(noun) A large cave. | (verb) To form a cavern or deep depression in.,,"n. 洞穴；凹处
vt. 挖空；置…于洞穴中"
8987,地理,地理,地理,1,a.,celestial,,en [sɪ'lestɪəl] us [sə'lɛstʃəl],天上的，天空的,,,"(noun) An inhabitant of heaven. | (adjective) Relating to the sky or outer space, regarded as the realm of the sun, moon, planets, and stars.",,"adj. 天上的，天空的
n. 神仙，天堂里的居民"
